country,population_rank_1960,gdp_capita_nominal_1960,struct_1945
China,1,90,3
India,2,82,3
Russia/USSR,3,991,2
United States,4,3007,1
Japan,5,479,1
Indonesia,6,65,3
Germany,7,1127,1
Brazil,8,210,3
United Kingdom,9,1381,1
Italy,10,804,1
Bangladesh,11,89,3
France,12,1344,1
Nigeria,13,93,3
Pakistan,14,82,3
Mexico,15,345,3
Vietnam,16,90,3
Spain,17,396,1
Poland,18,573,2
Turkey,19,509,3
Thailand,20,101,3
Egypt,21,191,3
Philippines,22,245,3
South Korea,23,158,3
Ethiopia,24,61,3
Iran,25,192,3
